# Samsung 官方價格快取
# 格式: 型號|價格|來源|時間
# 你可以即時編輯此檔案來修正價格
# ========================================
43|6526|finder-api-bulk|2026-07-14 05:13
75QN70F|57900|finder-api-bulk|2026-07-14 05:13
75QN90F|79900|finder-api-bulk|2026-07-14 05:13
C34G55TWW|9900|finder-api-bulk|2026-07-14 05:13
C34G55TWWC|9900|finder-api-bulk|2026-07-14 05:13
FOLLOWME ?|8990|finder-api-bulk|2026-07-14 05:13
FOLLOWME M5 32|7990|finder-api-bulk|2026-07-14 05:13
FOLLOWME M5 32"|7990|finder-api-bulk|2026-07-14 05:13
FOLLOWME M7 32|9900|finder-api-bulk|2026-07-14 05:13
FOLLOWME M7 32"|9900|finder-api-bulk|2026-07-14 05:13
FOLLOWME MX XX"|9900|finder-api-bulk|2026-07-14 05:13
FOLLOWME PRO M7 43|13900|finder-api-bulk|2026-07-14 05:13
FOLLOWME PRO M7 43"|13900|finder-api-bulk|2026-07-14 05:13
G5|4990|finder-api-bulk|2026-07-14 05:13
LC34G55TWWCXZW|9900|finder-api-bulk|2026-07-14 05:13
LS24F332EACXZW|2390|finder-api-bulk|2026-07-14 05:13
LS27CG552ECXZW|4990|finder-api-bulk|2026-07-14 05:13
LS27D300GACXZW|3290|finder-api-bulk|2026-07-14 05:13
LS27D362GACXZW|3990|finder-api-bulk|2026-07-14 05:13
LS27D606UACXZW|8990|finder-api-bulk|2026-07-14 05:13
LS27F612EACXZW|4990|finder-api-bulk|2026-07-14 05:13
LS27FG502ECXZW|5990|finder-api-bulk|2026-07-14 05:13
LS27FG502SCXZW|11900|finder-api-bulk|2026-07-14 05:13
LS27FG532ECXZW|4990|finder-api-bulk|2026-07-14 05:13
LS27FM500ECXZW|5990|finder-api-bulk|2026-07-14 05:13
LS27FM501ECXZW|5990|finder-api-bulk|2026-07-14 05:13
LS27H704EACXZW|7990|finder-api-bulk|2026-07-14 05:13
LS27H802EFAXZW|19900|finder-api-bulk|2026-07-14 05:13
LS27HG802SCXZW|25900|finder-api-bulk|2026-07-14 05:13
LS27HG806EFXZW|19900|finder-api-bulk|2026-07-14 05:13
LS32D606UACXZW|9990|finder-api-bulk|2026-07-14 05:13
LS32DG702ECXZW|19900|finder-api-bulk|2026-07-14 05:13
LS32FG502ECXZW|7490|finder-api-bulk|2026-07-14 05:13
LS32FM500ECXZW|7990|finder-api-bulk|2026-07-14 05:13
LS32FM501ECXZW|10990|finder-api-bulk|2026-07-14 05:13
LS32FM702UCXZW|9990|finder-api-bulk|2026-07-14 05:13
LS32FM703UCXZW|12990|finder-api-bulk|2026-07-14 05:13
LS32FM803UCXZW|12900|finder-api-bulk|2026-07-14 05:13
LS32FM902SCXZW|39990|finder-api-bulk|2026-07-14 05:13
LS32H704EACXZW|8990|finder-api-bulk|2026-07-14 05:13
LS32HG732SCXZW|22900|finder-api-bulk|2026-07-14 05:13
LS32HG802SCXZW|27900|finder-api-bulk|2026-07-14 05:13
LS32HG806ESXZW|29900|finder-api-bulk|2026-07-14 05:13
LS34C652UACXZW|13490|finder-api-bulk|2026-07-14 05:13
LS34DG852SCXZW|24900|finder-api-bulk|2026-07-14 05:13
LS37D702EACXZW|12900|finder-api-bulk|2026-07-14 05:13
LS37D802UACXZW|14900|finder-api-bulk|2026-07-14 05:13
LS37FG752ECXZW|19900|finder-api-bulk|2026-07-14 05:13
LS40FG752ECXZW|24900|finder-api-bulk|2026-07-14 05:13
LS40H850TACXZW|27900|finder-api-bulk|2026-07-14 05:13
LS43FM702UCXZW|13990|finder-api-bulk|2026-07-14 05:13
LS43FM703UCXZW|13990|finder-api-bulk|2026-07-14 05:13
LS49DG932SCXZW|36900|finder-api-bulk|2026-07-14 05:13
LS49DG952SCXZW|39900|finder-api-bulk|2026-07-14 05:13
LS49FG916ECXZW|22900|finder-api-bulk|2026-07-14 05:13
MAG 245C X24|3690|finder-api-bulk|2026-07-14 05:13
ODYSSEY 3D 27"|49900|finder-api-bulk|2026-07-14 05:13
ODYSSEY G9|22100|finder-api-bulk|2026-07-14 05:13
ODYSSEY NEO G9|66505|finder-api-bulk|2026-07-14 05:13
ODYSSEY NEO G9 MINI LED|66505|finder-api-bulk|2026-07-14 05:13
ODYSSEY NEO G9 MINI LED G95C|69900|finder-api-bulk|2026-07-14 05:13
PRO MP275PG E14|3488|finder-api-bulk|2026-07-14 05:13
S24D300AC|1050|finder-api-bulk|2026-07-14 05:13
S24F332EAC|2390|finder-api-bulk|2026-07-14 05:13
S27CG552EC|4990|finder-api-bulk|2026-07-14 05:13
S27D300AC|3290|finder-api-bulk|2026-07-14 05:13
S27D300GAC|3290|finder-api-bulk|2026-07-14 05:13
S27D362GAC|3990|finder-api-bulk|2026-07-14 05:13
S27D400GAC|6690|finder-api-bulk|2026-07-14 05:13
S27D606UAC|8990|finder-api-bulk|2026-07-14 05:13
S27DM502EC|6398|finder-api-bulk|2026-07-14 05:13
S27F612EAC|4990|finder-api-bulk|2026-07-14 05:13
S27F612EC|4990|finder-api-bulk|2026-07-14 05:13
S27FG502EC|5990|finder-api-bulk|2026-07-14 05:13
S27FG502SC|11900|finder-api-bulk|2026-07-14 05:13
S27FG532EC|4990|finder-api-bulk|2026-07-14 05:13
S27FG602SC|22599|finder-api-bulk|2026-07-14 05:13
S27FG900XC|39900|finder-api-bulk|2026-07-14 05:13
S27FM500EC|5990|finder-api-bulk|2026-07-14 05:13
S27FM501EC|5990|finder-api-bulk|2026-07-14 05:13
S27H704EAC|7990|finder-api-bulk|2026-07-14 05:13
S27H802EFA|19900|finder-api-bulk|2026-07-14 05:13
S27HG802SC|25900|finder-api-bulk|2026-07-14 05:13
S27HG806EF|19900|finder-api-bulk|2026-07-14 05:13
S32CG552EC|6990|finder-api-bulk|2026-07-14 05:13
S32D606UAC|9990|finder-api-bulk|2026-07-14 05:13
S32DG702EC|19900|finder-api-bulk|2026-07-14 05:13
S32DG802SC|21800|finder-api-bulk|2026-07-14 05:13
S32DM803UC|10900|finder-api-bulk|2026-07-14 05:13
S32FG502EC|7490|finder-api-bulk|2026-07-14 05:13
S32FG812|20900|finder-api-bulk|2026-07-14 05:13
S32FM500EC|7990|finder-api-bulk|2026-07-14 05:13
S32FM501EC|10990|finder-api-bulk|2026-07-14 05:13
S32FM702UC|9990|finder-api-bulk|2026-07-14 05:13
S32FM703UC|12990|finder-api-bulk|2026-07-14 05:13
S32FM803UC|12900|finder-api-bulk|2026-07-14 05:13
S32FM902SC|39990|finder-api-bulk|2026-07-14 05:13
S32H704EAC|8990|finder-api-bulk|2026-07-14 05:13
S32HG732SC|22900|finder-api-bulk|2026-07-14 05:13
S32HG802SC|27900|finder-api-bulk|2026-07-14 05:13
S32HG806ES|29900|finder-api-bulk|2026-07-14 05:13
S34C652UAC|13490|finder-api-bulk|2026-07-14 05:13
S34DG852SC|24900|finder-api-bulk|2026-07-14 05:13
S37D702EAC|12900|finder-api-bulk|2026-07-14 05:13
S37D802UAC|14900|finder-api-bulk|2026-07-14 05:13
S37D802UC|13999|finder-api-bulk|2026-07-14 05:13
S37FG752EC|19900|finder-api-bulk|2026-07-14 05:13
S40FG752B|24900|finder-api-bulk|2026-07-14 05:13
S40FG752EC|24900|finder-api-bulk|2026-07-14 05:13
S40H850TAC|27900|finder-api-bulk|2026-07-14 05:13
S43FM702UC|13990|finder-api-bulk|2026-07-14 05:13
S43FM703UC|13990|finder-api-bulk|2026-07-14 05:13
S49DG932SC|36900|finder-api-bulk|2026-07-14 05:13
S49DG952SC|39900|finder-api-bulk|2026-07-14 05:13
S49FG916EC|22900|finder-api-bulk|2026-07-14 05:13
S55CG970NC|69900|finder-api-bulk|2026-07-14 05:13
S57CG952NC|69900|finder-api-bulk|2026-07-14 05:13
S80UD|13999|finder-api-bulk|2026-07-14 05:13
SB243Y P1|3288|finder-api-bulk|2026-07-14 05:13
VG249QMSA|3488|finder-api-bulk|2026-07-14 05:13
VG270K V4|6888|finder-api-bulk|2026-07-14 05:13
VG270KV4|6888|finder-api-bulk|2026-07-14 05:13
它牌(MSI)|2690|finder-api-bulk|2026-07-14 05:13
